HMDB	KEGG
HMDB01085	C02165
HMDB01086	C01051
HMDB01087	C03089
HMDB01088	C00136
HMDB01090	C01143
HMDB01091	C07344
HMDB01094	C04146
HMDB01095	C00325
HMDB01096	C00169
HMDB01097	C01079
HMDB01101	C02519
HMDB01104	C01239
HMDB01106	C05665
HMDB01112	C00661
HMDB01113	C02939
HMDB01114	C00412
HMDB01117	C04352
HMDB01119	C19579
HMDB01120	C00235
HMDB01121	C04257
HMDB01122	C11489
HMDB01123	C00108
HMDB01124	C00689
HMDB01125	C04299
HMDB01126	C06524
HMDB01127	C01236
HMDB01128	C03090
HMDB01129	C00645
HMDB01131	C05840
HMDB01132	C01185
HMDB01134	C00053
HMDB01137	C01024
HMDB01138	C00624
HMDB01139	C00639
HMDB01140	C01545
HMDB01142	C01847
HMDB01143	C01243
HMDB01147	C00872
HMDB01149	C00430
HMDB01151	C01487
HMDB01155	C06197
HMDB01157	C03344
HMDB01161	C01181
HMDB01162	C15672
HMDB01163	C00096
HMDB01164	C04221
HMDB01165	C00573
HMDB01166	C03561
HMDB01167	C00546
HMDB01169	C02372
HMDB01170	C01189
HMDB01172	C00349
HMDB01173	C00170
HMDB01175	C00083
HMDB01176	C00128
HMDB01177	C01169
HMDB01178	C00301
HMDB01179	C00857
HMDB01180	C05932
HMDB01181	C15808
HMDB01183	C00756
HMDB01185	C00019
HMDB01186	C02567
HMDB01187	C04477
HMDB01188	C01054
HMDB01190	C00637
HMDB01191	C00460
HMDB01193	C05356
HMDB01195	C03684
HMDB01196	C04537
HMDB01197	C01352
HMDB01198	C02166
HMDB01199	C03415
HMDB01200	C02406
HMDB01201	C00035
HMDB01202	C00239
HMDB01204	C03033
HMDB01206	C00024
HMDB01209	C00499
HMDB01211	C01260
HMDB01212	C05565
HMDB01213	C11437
HMDB01216	C05650
HMDB01217	C05103
HMDB01218	C05851
HMDB01219	C02817
HMDB01220	C00584
HMDB01227	C00364
HMDB01228	C03287
HMDB01229	C00822
HMDB01231	C05446
HMDB01232	C00870
HMDB01235	C03373
HMDB01238	C00978
HMDB01241	C02220
HMDB01242	C01943
HMDB01243	C00630
HMDB01245	C00705
HMDB01247	C06264
HMDB01248	C00016
HMDB01250	C07565
HMDB01251	C01724
HMDB01252	C00576
HMDB01253	C04185
HMDB01254	C00352
