R-MMU-112383	Gtf2f1	n/a
R-MMU-112383	Gtf2f2	n/a
R-MMU-112383	Gtf2h1	n/a
R-MMU-112383	Gtf2h2	n/a
R-MMU-112383	Gtf2h3	n/a
R-MMU-112383	Gtf2h4	n/a
R-MMU-112383	Gtf2h5	n/a
R-MMU-112383	Mnat1	n/a
R-MMU-112383	Ncbp1	n/a
R-MMU-112383	Ncbp2	n/a
R-MMU-112383	Polr2a	n/a
R-MMU-112383	Polr2b	n/a
R-MMU-112383	Polr2c	n/a
R-MMU-112383	Polr2d	n/a
R-MMU-112383	Polr2e	n/a
R-MMU-112383	Polr2f	n/a
R-MMU-112383	Polr2g	n/a
R-MMU-112383	Polr2h	n/a
R-MMU-112383	Polr2i	n/a
R-MMU-112383	Polr2j	n/a
R-MMU-112383	Polr2k	n/a
R-MMU-112383	Polr2l	n/a
R-MMU-113503	Ppp2ca	n/a
R-MMU-113503	Ppp2cb	n/a
R-MMU-113503	Ppp2r1a	n/a
R-MMU-113503	Ppp2r1b	n/a
R-MMU-113503	Rb1	n/a
R-MMU-114544	Arhgef1	n/a
R-MMU-114544	Gna13	n/a
R-MMU-114544	Rhoa	n/a
R-MMU-114552	F2r	n/a
R-MMU-114552	Gna12	n/a
R-MMU-114552	Gna13	n/a
R-MMU-114552	Gnb1	n/a
R-MMU-114552	Gnb2	n/a
R-MMU-114552	Gnb4	n/a
R-MMU-114552	Gnb5	n/a
R-MMU-114552	Gng12	n/a
R-MMU-114552	Gng2	n/a
R-MMU-114552	Gng3	n/a
R-MMU-114552	Gng5	n/a
R-MMU-114552	Gngt2	n/a
R-MMU-114600	Fyn	n/a
R-MMU-114600	Lyn	n/a
R-MMU-114683	Prkca	n/a
R-MMU-114683	Prkcb	n/a
R-MMU-114683	Prkcg	n/a
R-MMU-114683	Stxbp3	n/a
R-MMU-114688	C01245	n/a
R-MMU-114688	C04637	n/a
R-MMU-114688	Gna11	n/a
R-MMU-114688	Gna15	n/a
R-MMU-114688	Gnaq	n/a
R-MMU-114688	Plcb3	n/a
R-MMU-114688	Plcb4	n/a
R-MMU-114689	C01245	n/a
R-MMU-114689	C04637	n/a
R-MMU-114689	Pdpn	n/a
R-MMU-114689	Plcg2	n/a
R-MMU-114689	Syk	n/a
R-MMU-1168376	C01245	n/a
R-MMU-1168376	Itpr1	n/a
R-MMU-1168376	Itpr2	n/a
R-MMU-1168376	Itpr3	n/a
R-MMU-1168376	Stim1	n/a
R-MMU-1168459	Ghr	n/a
R-MMU-1168459	Jak2	n/a
R-MMU-1168459	Lyn	n/a
R-MMU-1168459	Mapk1	n/a
R-MMU-1168459	Mapk3	n/a
R-MMU-1168635	Prkcb	n/a
R-MMU-1168636	Hras	n/a
R-MMU-1168636	Kras	n/a
R-MMU-1168636	Nras	n/a
R-MMU-1168636	Rasgrp1	n/a
R-MMU-1168636	Rasgrp3	n/a
R-MMU-1168638	Chuk	n/a
R-MMU-1168638	Ikbkb	n/a
R-MMU-1168638	Ikbkg	n/a
R-MMU-1168638	Nfkb1	n/a
R-MMU-1168638	Nfkbia	n/a
R-MMU-1168638	Nfkbib	n/a
R-MMU-1168638	Nfkbie	n/a
R-MMU-1168638	Rela	n/a
R-MMU-1168790	Adam17	n/a
R-MMU-1168790	Ghr	n/a
R-MMU-1168923	Ghr	n/a
R-MMU-1168923	Jak2	n/a
R-MMU-1168923	Stat5a	n/a
R-MMU-1168923	Stat5b	n/a
R-MMU-1169192	Ghr	n/a
R-MMU-1169192	Jak2	n/a
R-MMU-1169192	Ptpn1	n/a
R-MMU-1169206	Ghr	n/a
R-MMU-1169206	Jak2	n/a
R-MMU-1169206	Stat3	n/a
R-MMU-1169229	Ghr	n/a
R-MMU-1169229	Jak2	n/a
R-MMU-1169229	Ptpn1	n/a
R-MMU-1169240	Ghr	n/a
R-MMU-1169240	Jak2	n/a
R-MMU-1169240	Ptpn6	n/a
R-MMU-1169394	Arih1	n/a
R-MMU-1169394	Irf3	n/a
R-MMU-1169394	Trim25	n/a
R-MMU-1181148	Furin	n/a
R-MMU-1181148	Nodal	n/a
R-MMU-1181149	Acvr1b	n/a
R-MMU-1181149	Acvr2a	n/a
R-MMU-1181149	Acvr2b	n/a
R-MMU-1181149	Inhbb	n/a
R-MMU-1183128	Padi2	n/a
R-MMU-1183128	Padi3	n/a
R-MMU-1222376	C00032	n/a
R-MMU-1222376	Cyba	n/a
R-MMU-1222376	Ncf2	n/a
R-MMU-1222516	Atp6v0a1	n/a
R-MMU-1222516	Atp6v0a2	n/a
R-MMU-1222516	Atp6v0b	n/a
R-MMU-1222516	Atp6v0c	n/a
R-MMU-1222516	Atp6v0d1	n/a
R-MMU-1222516	Atp6v0e	n/a
R-MMU-1222516	Atp6v0e2	n/a
R-MMU-1222516	Atp6v1a	n/a
R-MMU-1222516	Atp6v1b2	n/a
R-MMU-1222516	Atp6v1c1	n/a
R-MMU-1222516	Atp6v1c2	n/a
R-MMU-1222516	Atp6v1d	n/a
R-MMU-1222516	Atp6v1e1	n/a
R-MMU-1222516	Atp6v1f	n/a
R-MMU-1222516	Atp6v1g1	n/a
R-MMU-1222516	Atp6v1h	n/a
R-MMU-1222516	Tcirg1	n/a
R-MMU-1234163	Ajuba	n/a
R-MMU-1234163	Cul2	n/a
R-MMU-1234163	Egln1	n/a
R-MMU-1234163	Egln3	n/a
R-MMU-1234163	Epas1	n/a
R-MMU-1234163	Hif1a	n/a
R-MMU-1234163	Hif3a	n/a
R-MMU-1234163	Limd1	n/a
R-MMU-1234163	Rbx1	n/a
R-MMU-1234163	Vhl	n/a
R-MMU-1234163	Wtip	n/a
R-MMU-1234164	C00026	n/a
R-MMU-1234164	C00042	n/a
R-MMU-1234164	Epas1	n/a
R-MMU-1234164	Hif1a	n/a
R-MMU-1234164	Hif1an	n/a
R-MMU-1234165	C00026	n/a
R-MMU-1234165	C00042	n/a
R-MMU-1234165	Egln2	n/a
R-MMU-1234165	Egln3	n/a
R-MMU-1234165	Hif3a	n/a
R-MMU-1234172	Cul2	n/a
R-MMU-1234172	Epas1	n/a
R-MMU-1234172	Hif1a	n/a
R-MMU-1234172	Hif3a	n/a
R-MMU-1234172	Rbx1	n/a
R-MMU-1234172	Vhl	n/a
R-MMU-1234173	Ajuba	n/a
R-MMU-1234173	C00026	n/a
R-MMU-1234173	C00042	n/a
R-MMU-1234173	Cul2	n/a
R-MMU-1234173	Egln1	n/a
R-MMU-1234173	Egln3	n/a
R-MMU-1234173	Hif3a	n/a
R-MMU-1234173	Limd1	n/a
R-MMU-1234173	Rbx1	n/a
R-MMU-1234173	Vhl	n/a
R-MMU-1234173	Wtip	n/a
R-MMU-1236954	B2m	n/a
R-MMU-1236954	H2-D1	n/a
R-MMU-1236954	H2-K1	n/a
R-MMU-1236954	H2-M5	n/a
R-MMU-1236954	H2-Q4	n/a
R-MMU-1236954	Lnpep	n/a
R-MMU-1236967	Cyba	n/a
R-MMU-1236967	Ncf2	n/a
R-MMU-1237047	Car4	n/a
R-MMU-1237096	Mri1	n/a
R-MMU-1237119	Adi1	n/a
R-MMU-1237119	C00023	n/a
R-MMU-1237119	C00058	n/a
R-MMU-1237129	Enoph1	n/a
R-MMU-1237160	C00147	n/a
R-MMU-1237160	Mtap	n/a
R-MMU-1247910	C00037	n/a
R-MMU-1247910	C00097	n/a
R-MMU-1247910	Cndp2	n/a
R-MMU-1247922	C00097	n/a
R-MMU-1247922	Ggct	n/a
R-MMU-1247935	C00025	n/a
R-MMU-1247935	Oplah	n/a
R-MMU-1247960	Map2k6	n/a
R-MMU-1247960	Mapk11	n/a
R-MMU-1247960	Mapk12	n/a
R-MMU-1247960	Mapk13	n/a
R-MMU-1247960	Mapk14	n/a
R-MMU-1250195	Egfr	n/a
R-MMU-1250195	Erbb2	n/a
R-MMU-1250195	Erbb3	n/a
R-MMU-1250195	Hbegf	n/a
R-MMU-1250195	Nrg4	n/a
R-MMU-1250195	Shc1	n/a
R-MMU-1250315	Hbegf	n/a
R-MMU-1250315	Nrg4	n/a
R-MMU-1250348	Hbegf	n/a
R-MMU-1250348	Nrg4	n/a
R-MMU-1250348	Shc1	n/a
R-MMU-1250370	C04637	n/a
R-MMU-1250370	C05981	n/a
R-MMU-1250370	Hbegf	n/a
R-MMU-1250370	Nrg4	n/a
R-MMU-1250370	Pik3ca	n/a
R-MMU-1250370	Pik3r1	n/a
R-MMU-1250383	Grb2	n/a
R-MMU-1250383	Hbegf	n/a
R-MMU-1250383	Hras	n/a
R-MMU-1250383	Kras	n/a
R-MMU-1250383	Nras	n/a
R-MMU-1250383	Nrg4	n/a
R-MMU-1250383	Shc1	n/a
R-MMU-1250383	Sos1	n/a
R-MMU-1250462	C04637	n/a
R-MMU-1250462	C05981	n/a
R-MMU-1250462	Erbb2	n/a
R-MMU-1250462	Erbb3	n/a
R-MMU-1250462	Pik3ca	n/a
R-MMU-1250462	Pik3r1	n/a
R-MMU-1253282	Itch	n/a
R-MMU-1253282	Wwp1	n/a
R-MMU-1295540	Jak1	n/a
R-MMU-1295540	Jak3	n/a
R-MMU-1295540	Stat5a	n/a
R-MMU-1295540	Stat5b	n/a
R-MMU-1295632	Ppp2ca	n/a
R-MMU-1295632	Ppp2cb	n/a
R-MMU-1295632	Ppp2r1a	n/a
R-MMU-1295632	Spry2	n/a
R-MMU-1295764	Jak3	n/a
R-MMU-1296039	Kcnn2	n/a
R-MMU-1296043	C00575	n/a
R-MMU-1296043	Hcn2	n/a
R-MMU-1296043	Hcn3	n/a
R-MMU-1296046	Kcnj12	n/a
R-MMU-1296127	Kcnb1	n/a
R-MMU-1296127	Kcnc3	n/a
R-MMU-1296127	Kcnd1	n/a
R-MMU-1296127	Kcnf1	n/a
R-MMU-1296127	Kcng3	n/a
R-MMU-1296127	Kcnh2	n/a
R-MMU-1296127	Kcnh3	n/a
R-MMU-1296127	Kcnh6	n/a
R-MMU-1296127	Kcnq2	n/a
R-MMU-1296127	Kcns3	n/a
R-MMU-1299304	Kcnk1	n/a
R-MMU-1299304	Kcnk6	n/a
R-MMU-1306957	C04637	n/a
R-MMU-1306957	C05981	n/a
R-MMU-1306957	Egfr	n/a
R-MMU-1306957	Erbb2	n/a
R-MMU-1306957	Gab1	n/a
R-MMU-1306957	Grb2	n/a
R-MMU-1306957	Pik3ca	n/a
R-MMU-1306957	Pik3r1	n/a
R-MMU-1306972	Erbb2	n/a
R-MMU-1306972	Grb2	n/a
R-MMU-1306972	Hbegf	n/a
R-MMU-1306972	Hras	n/a
R-MMU-1306972	Kras	n/a
R-MMU-1306972	Nras	n/a
R-MMU-1306972	Nrg4	n/a
R-MMU-1306972	Sos1	n/a
R-MMU-1306979	C04637	n/a
R-MMU-1306979	C05981	n/a
R-MMU-1306979	Erbb2	n/a
